content,score,label
Bagus bangett,5,Positif
aplikasi yang bagus budaya memilih ajaran sesuai yang kita mau dan disini lengkap dan ramah banget kaka yg ngejelasin nya makasih ya ruangguru,5,Positif
bagus,5,Positif
semoga ruang guru ini bisa membuat ku pintar,5,Positif
sangat bagus,4,Positif
saat bingung mau dekat ujian download ini ajah biar ilmu mu makin kuat untuk melewati ujian,5,Positif
ini sangat bermanfaat untuk kita belajar,5,Positif
seruuuuu,5,Positif
tidak berguna gurunya juga tidak propesional,1,Negatif
"aplikasi nya keren,baik, dan mengasah kepintaran terimakasih ruang guru🙏🏻",5,Positif
ilmu sosial dan perkalian,5,Positif
banyak fitur-fitur yang memudahkan saya untuk belajar,5,Positif
cara pembelajaran menarik,5,Positif
ᴷᴬᴸᴼ ᴮᴵˢᴬ ᵁᴰᴬᴴ ˢᴬᵞᴬ ᴳᴬᴷ ᴷᴬˢᴵᴴ ᴮᴵᴺᵀᴬᴺᴳ ˢᴼᴬᴸᴺᵞᴬ ᴮᴱᴸᵁᴹ ᴬᴶᴬ ᴮᴱᴸᴬᴶᴬᴿ ᴰᴬᴴ ᴰᴵ ᵀᴬᴳᴵᴴ ᴮᴱᴿᴬᵀᵁˢ ᴿᴬᵀᵁˢ ᴿᴵᴮᵁ ˢᴬᵞᴬ ᴬᴶᴬ ᴰᴵ ᵀᴬᴳᴵᴴ Rp. 570.000,1,Negatif
"terlalu berbelit dan ribet, tolong perbaiki lagi ,, serta soal hilang timbul,",1,Negatif
"sebenarnya bagus ya tpi, mahal bgt aku tu termasuk miskin gitu boro boro beli mobil sawit aja gk punya, kukira dulu gratis eh ternyata bayar 💸",4,Positif
"aduh, tolong dong Ruang guru jangan ngechat tiap jam sekali dan maksa maksa ambil paketan. Aku yang awalnya excited mau belajar di ruang guru karena dekat dengan rumahku, jadi kesel bgt dan gajadi ambil paketan gara gara konsultan pendidikan ruang guru(*katanya) ngechatin muluuuu setelah aku bilang aku mau ambil paketan coba coba dan aku pikirkan dulu sbntar. eh dia nya ngeburu-buruin bilang ""skarang"" ""nnti diskonnya/promonya habis"" dll.. smpe ngechat aku pake nomor lain. jangan gitu bgt plissss",1,Negatif
udah isi nomer hp malah katanya tidak valid aplikasi tidak becus,1,Negatif
keluar mulu,1,Negatif
Ganggu orang liat sinetron aja iklan sampah,1,Negatif
aktivitasnya menyenangkan dan menambah pengetahuan,5,Positif
wow sangat keren banget!,5,Positif
"aplikasi yang bagus ,bisa bantu belajar anak",5,Positif
saya sangat senang bisa dapat belajar dari ruang guru tanpa bingung bagaimana mengerjakan tugas-tugas tersebut 😊☺️😊☺️,5,Positif
"wee ini apk knp ngebug terus wee 😭 tolong perbaiki, suka greget banget rasanya, mau belajar padahal",4,Positif
jadi fokus deh!,5,Positif
seru banget,5,Positif
🫰🏻,4,Positif
"jujur sebenarnya ruangguru itu bagus baget, tapi aku sering kali kesusahan cari materi karena kurikulum. sekarang pakai aku pakai kurikulum merdeka, aku search materi nya itu ada beberapa yang gk ada, dan harus ganti ke K13/K13 revisi, jadinya agak ribet. dan biasanya pilihan materi di K13/K13 revisi itu lebih banyak.",3,Netral
semoga nilai mtk ku yang jelek itu menjadi bagus😞,5,Positif
allhamdulilah sejak pake ruang guru belajar jadi gampang,5,Positif
mantap,5,Positif
bagus si 💃🔥,5,Positif
bagus pembelajarannya,5,Positif
"mantap banget, aku syukaa🥰",5,Positif
aplikasi ruang guru membantu saya untuk mengulang 2 pelajaran saya dari kls 1 hingga kls 7 ini.,5,Positif
bagus aplikasi nya bisa buat belajar & bimbel online☺️,5,Positif
"mantapppp,bikinn otakk kuuu mulaii aktiff lagii,kecanduann 😚",5,Positif
mudah di pahami,5,Positif
mudah untuk dipelajari,5,Positif
"haiii ruangguru! aku ke sini lagi mau ngucapin terimakasih atas bantuannya, ya selama ini! MAKASIHH UDAH NEMENIN AKU BERJUANG DI FASE NGEJAR PTN, NEMENIN PERJUANGAN AKU DAPETIN KAMPUS KUNING ITUUU. doain ya, tgl 25 mei besok aku dapet ucapan selamat! 🤗💙 Sehat sehat etmin ruangguru dan semuanyahhh 💙",5,Positif
bagus banget nilai aku juga naik gara gara ruangguru terimakasih yaa ruangguru semoga makin sukses😉,5,Positif
this is a best aplication for preparing snbt,5,Positif
"Tidak jelas, saya lupa sandi, saat saya ingin merubah sandi saya selalu muncul ada kesalahan pada sistem, saya sudah menunggu selama 2 hari masih saja error.",1,Negatif
karna aku les di ruang guru❤️❤️❤️,5,Positif
"Hai aku pengguna baru apk ruang guru,aku butuh untuk UM ( ujian madrasah ) soalnya aku kalau belajar tu sebenarnya niat cmn otakku yang sulit memahami yang di pahami juga kadang dikit sisanya zonk semua,aku berharap dengan memberi Bintang lima dan mendowload aplikasi ini bisa membantuku belajar lebih efektif dan efisien,terima kasih ❤️",5,Positif
